;Lavoura;Ano;id_estado;id_municipio;id_estado_new;Produto;Produção;Rendimento médio;Área colhida;Área plantada
0;Estimativas;202503;11;9999999;11;Algodão herbáceo (em caroço);34052.0;3800.0;8961.0;8961.0
1;Estimativas;202503;11;9999999;11;Arroz (em casca);190364.0;3654.0;52100.0;52100.0
2;Estimativas;202503;11;9999999;11;Banana (cacho);107036.0;14964.0;7153.0;7174.0
3;Estimativas;202503;11;9999999;11;Cacau (em amêndoa);8317.0;1259.0;6608.0;6618.0
4;Estimativas;202503;11;9999999;11;Café (em grão) Canephora;177380.0;3337.0;53156.0;53156.0
5;Estimativas;202503;11;9999999;11;Cana-de-açúcar;14793.0;35055.0;422.0;422.0
6;Estimativas;202503;11;9999999;11;Feijão (em grão);2687.0;1112.0;2416.0;2416.0
7;Estimativas;202503;11;9999999;11;Mandioca;312026.0;20820.0;14987.0;15150.0
8;Estimativas;202503;11;9999999;11;Milho (em grão);1020335.5;4040.0;219607.5;219607.5
9;Estimativas;202503;11;9999999;11;Soja (em grão);2419225.0;3474.0;696311.0;696321.0
10;Estimativas;202503;11;9999999;11;Tomate;3891.0;31893.0;122.0;122.0
11;Estimativas;202503;12;9999999;12;Arroz (em casca);4429.0;1224.0;3617.0;3752.0
12;Estimativas;202503;12;9999999;12;Banana (cacho);87907.0;12540.0;7010.0;7685.0
13;Estimativas;202503;12;9999999;12;Café (em grão) Canephora;4921.0;3051.0;1613.0;1734.0
14;Estimativas;202503;12;9999999;12;Cana-de-açúcar;10320.0;25930.0;398.0;418.0
15;Estimativas;202503;12;9999999;12;Feijão (em grão);2832.0;559.0;5069.0;5069.0
16;Estimativas;202503;12;9999999;12;Mandioca;511423.0;23054.0;22184.0;22284.0
17;Estimativas;202503;12;9999999;12;Milho (em grão);62313.5;3577.0;19405.5;19405.5
18;Estimativas;202503;12;9999999;12;Soja (em grão);64059.0;3459.0;18522.0;18550.0
19;Estimativas;202503;12;9999999;12;Amendoim (em casca);48.0;1200.0;40.0;40.0
20;Estimativas;202503;12;9999999;12;Laranja;5245.0;13987.0;375.0;387.0
21;Estimativas;202503;13;9999999;13;Arroz (em casca);10207.0;2746.0;3717.0;3732.0
22;Estimativas;202503;13;9999999;13;Banana (cacho);116033.0;15371.0;7549.0;7798.0
23;Estimativas;202503;13;9999999;13;Cacau (em amêndoa);573.0;511.0;1121.0;1123.0
24;Estimativas;202503;13;9999999;13;Café (em grão) Canephora;646.0;1386.0;466.0;467.0
25;Estimativas;202503;13;9999999;13;Cana-de-açúcar;259246.0;44899.0;5774.0;5777.0
26;Estimativas;202503;13;9999999;13;Feijão (em grão);367.5;1123.0;355.0;369.0
27;Estimativas;202503;13;9999999;13;Mandioca;750582.0;10620.0;70679.0;72700.0
28;Estimativas;202503;13;9999999;13;Milho (em grão);8076.0;2970.0;2719.0;2744.0
29;Estimativas;202503;13;9999999;13;Soja (em grão);34200.0;2865.0;11937.0;11937.0
30;Estimativas;202503;13;9999999;13;Tomate;641.0;14907.0;43.0;43.0
31;Estimativas;202503;13;9999999;13;Laranja;39532.0;19816.0;1995.0;2006.0
32;Estimativas;202503;14;9999999;14;Arroz (em casca);88318.0;6836.0;12920.0;12920.0
33;Estimativas;202503;14;9999999;14;Banana (cacho);68274.0;10718.0;6370.0;6370.0
34;Estimativas;202503;14;9999999;14;Cacau (em amêndoa);263.0;1012.0;260.0;260.0
35;Estimativas;202503;14;9999999;14;Cana-de-açúcar;2847.0;14984.0;190.0;190.0
36;Estimativas;202503;14;9999999;14;Feijão (em grão);549.0;727.0;755.0;755.0
37;Estimativas;202503;14;9999999;14;Mandioca;106815.0;19246.0;5550.0;5550.0
38;Estimativas;202503;14;9999999;14;Milho (em grão);63399.0;3686.0;17200.0;17200.0
39;Estimativas;202503;14;9999999;14;Soja (em grão);477646.0;3334.0;143280.0;143280.0
40;Estimativas;202503;14;9999999;14;Tomate;2855.0;19033.0;150.0;150.0
41;Estimativas;202503;14;9999999;14;Laranja;17961.0;12622.0;1423.0;1423.0
42;Estimativas;202503;15;9999999;15;Arroz (em casca);106061.0;2731.0;38832.0;38832.0
43;Estimativas;202503;15;9999999;15;Banana (cacho);427404.0;11328.0;37729.0;37729.0
44;Estimativas;202503;15;9999999;15;Cacau (em amêndoa);159770.0;975.0;163891.0;163891.0
45;Estimativas;202503;15;9999999;15;Café (em grão) Canephora;130.0;778.0;167.0;167.0
46;Estimativas;202503;15;9999999;15;Cana-de-açúcar;1242971.0;71068.0;17490.0;17490.0
47;Estimativas;202503;15;9999999;15;Feijão (em grão);6618.0;741.5;9089.5;9089.5
48;Estimativas;202503;15;9999999;15;Mandioca;4208967.0;15528.0;271053.0;271053.0
49;Estimativas;202503;15;9999999;15;Milho (em grão);870067.0;3399.0;257861.5;257861.5
50;Estimativas;202503;15;9999999;15;Soja (em grão);4025779.0;3271.0;1230639.0;1230639.0
51;Estimativas;202503;15;9999999;15;Tomate;2347.0;21935.0;107.0;107.0
52;Estimativas;202503;15;9999999;15;Amendoim (em casca);73.0;1435.5;64.0;64.0
53;Estimativas;202503;15;9999999;15;Laranja;294786.0;17417.0;16925.0;16925.0
54;Estimativas;202503;15;9999999;15;Castanha de caju;550.0;671.0;820.0;820.0
55;Estimativas;202503;15;9999999;15;Sorgo (em grão);65188.0;2837.0;22975.0;22975.0
56;Estimativas;202503;16;9999999;16;Arroz (em casca);604.0;990.0;610.0;610.0
57;Estimativas;202503;16;9999999;16;Banana (cacho);17563.0;9687.0;1813.0;1813.0
58;Estimativas;202503;16;9999999;16;Cana-de-açúcar;5250.0;23864.0;220.0;220.0
59;Estimativas;202503;16;9999999;16;Feijão (em grão);820.0;965.0;850.0;850.0
60;Estimativas;202503;16;9999999;16;Mandioca;135626.0;10076.0;13460.0;13460.0
61;Estimativas;202503;16;9999999;16;Milho (em grão);2083.0;990.0;2105.0;2105.0
62;Estimativas;202503;16;9999999;16;Soja (em grão);26860.0;2686.0;10000.0;10000.0
63;Estimativas;202503;16;9999999;16;Laranja;3182.0;6629.0;480.0;480.0
64;Estimativas;202503;17;9999999;17;Algodão herbáceo (em caroço);39916.0;3471.0;11499.0;11499.0
65;Estimativas;202503;17;9999999;17;Arroz (em casca);712031.0;5524.0;128900.0;128901.0
66;Estimativas;202503;17;9999999;17;Banana (cacho);38691.0;10150.0;3812.0;3821.0
67;Estimativas;202503;17;9999999;17;Cana-de-açúcar;2915629.0;81026.0;35984.0;35991.0
68;Estimativas;202503;17;9999999;17;Feijão (em grão);29325.0;1481.3333333333333;21741.666666666668;21744.0
69;Estimativas;202503;17;9999999;17;Mandioca;236474.0;16067.0;14718.0;15057.0
70;Estimativas;202503;17;9999999;17;Milho (em grão);1075880.0;4333.0;236943.0;237038.0
71;Estimativas;202503;17;9999999;17;Soja (em grão);4751670.0;3373.0;1408638.0;1459659.0
72;Estimativas;202503;17;9999999;17;Amendoim (em casca);2336.0;3732.0;626.0;726.0
73;Estimativas;202503;17;9999999;17;Laranja;951.0;12038.0;79.0;83.0
74;Estimativas;202503;17;9999999;17;Castanha de caju;3.0;750.0;4.0;4.0
75;Estimativas;202503;17;9999999;17;Sorgo (em grão);81920.0;2066.0;39661.0;39661.0
76;Estimativas;202503;17;9999999;17;Uva;21.0;10500.0;2.0;2.0
77;Estimativas;202503;21;9999999;21;Algodão herbáceo (em caroço);135690.0;4112.0;32996.0;32996.0
78;Estimativas;202503;21;9999999;21;Arroz (em casca);187090.0;2439.0;76701.0;76701.0
79;Estimativas;202503;21;9999999;21;Banana (cacho);77061.0;17075.0;4513.0;4513.0
80;Estimativas;202503;21;9999999;21;Cana-de-açúcar;2655814.0;58924.0;45072.0;45072.0
81;Estimativas;202503;21;9999999;21;Feijão (em grão);12683.5;591.0;20758.0;20758.0
82;Estimativas;202503;21;9999999;21;Mandioca;630313.0;12988.0;48532.0;48532.0
83;Estimativas;202503;21;9999999;21;Milho (em grão);1353339.5;4960.0;265559.0;265559.0
84;Estimativas;202503;21;9999999;21;Soja (em grão);4484225.0;3259.0;1376096.0;1376096.0
85;Estimativas;202503;21;9999999;21;Tomate;3170.0;21275.0;149.0;149.0
86;Estimativas;202503;21;9999999;21;Amendoim (em casca);162.0;1653.0;98.0;98.0
87;Estimativas;202503;21;9999999;21;Laranja;236.0;4917.0;48.0;48.0
88;Estimativas;202503;21;9999999;21;Castanha de caju;2727.0;347.0;7856.0;7856.0
89;Estimativas;202503;21;9999999;21;Sorgo (em grão);31241.0;1955.0;15977.0;15977.0
90;Estimativas;202503;22;9999999;22;Algodão herbáceo (em caroço);105207.0;3157.0;33322.0;33322.0
91;Estimativas;202503;22;9999999;22;Arroz (em casca);87750.0;1953.0;44924.0;44927.0
92;Estimativas;202503;22;9999999;22;Banana (cacho);50068.0;20905.0;2395.0;2395.0
93;Estimativas;202503;22;9999999;22;Cana-de-açúcar;1160073.0;64202.0;18069.0;18069.0
94;Estimativas;202503;22;9999999;22;Feijão (em grão);41547.5;562.5;81956.0;86266.5
95;Estimativas;202503;22;9999999;22;Mandioca;523406.0;11068.0;47291.0;47291.0
96;Estimativas;202503;22;9999999;22;Milho (em grão);1039113.5;5260.0;225211.0;231011.0
97;Estimativas;202503;22;9999999;22;Soja (em grão);4051596.0;3788.0;1069601.0;1069601.0
98;Estimativas;202503;22;9999999;22;Tomate;5629.0;31447.0;179.0;179.0
99;Estimativas;202503;22;9999999;22;Amendoim (em casca);55.0;932.0;59.0;59.0
100;Estimativas;202503;22;9999999;22;Laranja;1304.0;8932.0;146.0;146.0
101;Estimativas;202503;22;9999999;22;Castanha de caju;29666.0;388.0;76432.0;76432.0
102;Estimativas;202503;22;9999999;22;Sorgo (em grão);115363.0;2566.0;44956.0;44956.0
103;Estimativas;202503;22;9999999;22;Uva;67.0;16750.0;4.0;4.0
104;Estimativas;202503;23;9999999;23;Algodão herbáceo (em caroço);6563.0;1841.0;3564.0;3564.0
105;Estimativas;202503;23;9999999;23;Arroz (em casca);22612.0;3752.0;6027.0;6027.0
106;Estimativas;202503;23;9999999;23;Banana (cacho);494053.0;12905.0;38285.0;38285.0
107;Estimativas;202503;23;9999999;23;Café (em grão) Canephora;10.0;357.0;28.0;28.0
108;Estimativas;202503;23;9999999;23;Cana-de-açúcar;483681.0;54261.0;8914.0;8914.0
109;Estimativas;202503;23;9999999;23;Feijão (em grão);51176.5;794.0;173300.5;173300.5
110;Estimativas;202503;23;9999999;23;Mandioca;906704.0;10032.0;90382.0;90382.0
111;Estimativas;202503;23;9999999;23;Milho (em grão);228764.5;3380.0;300646.0;300646.0
112;Estimativas;202503;23;9999999;23;Soja (em grão);14137.0;3740.0;3780.0;3780.0
113;Estimativas;202503;23;9999999;23;Tomate;197100.0;72357.0;2724.0;2724.0
114;Estimativas;202503;23;9999999;23;Amendoim (em casca);320.5;1548.0;291.5;291.5
115;Estimativas;202503;23;9999999;23;Laranja;7817.0;8126.0;962.0;962.0
116;Estimativas;202503;23;9999999;23;Castanha de caju;80074.0;279.0;286750.0;286750.0
117;Estimativas;202503;23;9999999;23;Sorgo (em grão);204.0;3709.0;55.0;55.0
118;Estimativas;202503;23;9999999;23;Uva;676.0;22533.0;30.0;30.0
119;Estimativas;202503;23;9999999;23;Café (em grão) Arábica;434.0;340.0;1275.0;1275.0
120;Estimativas;202503;23;9999999;23;Mamona (baga);102.0;234.0;435.0;435.0
121;Estimativas;202503;24;9999999;24;Algodão herbáceo (em caroço);1642.0;1682.0;976.0;979.0
122;Estimativas;202503;24;9999999;24;Arroz (em casca);1257.0;3166.0;397.0;397.0
123;Estimativas;202503;24;9999999;24;Banana (cacho);236691.0;27925.0;8476.0;8486.0
124;Estimativas;202503;24;9999999;24;Cana-de-açúcar;4389385.0;54694.0;80254.0;80584.0
125;Estimativas;202503;24;9999999;24;Feijão (em grão);8553.0;1085.0;23030.0;24481.5
126;Estimativas;202503;24;9999999;24;Mandioca;253698.0;10310.0;24607.0;26573.0
127;Estimativas;202503;24;9999999;24;Milho (em grão);32675.0;538.0;60748.0;67244.0
128;Estimativas;202503;24;9999999;24;Tomate;7207.0;30409.0;237.0;237.0
129;Estimativas;202503;24;9999999;24;Laranja;100.0;3704.0;27.0;27.0
130;Estimativas;202503;24;9999999;24;Castanha de caju;19929.0;327.0;60872.0;62866.0
131;Estimativas;202503;24;9999999;24;Sorgo (em grão);558.0;852.0;655.0;655.0
132;Estimativas;202503;25;9999999;25;Algodão herbáceo (em caroço);1593.0;1606.0;992.0;992.0
133;Estimativas;202503;25;9999999;25;Arroz (em casca);3641.0;1663.0;2190.0;2190.0
134;Estimativas;202503;25;9999999;25;Banana (cacho);144465.0;13899.0;10394.0;10394.0
135;Estimativas;202503;25;9999999;25;Cana-de-açúcar;6875544.0;58295.0;117944.0;117944.0
136;Estimativas;202503;25;9999999;25;Feijão (em grão);25456.5;585.0;43728.0;43728.0
137;Estimativas;202503;25;9999999;25;Mandioca;157436.0;9832.0;16012.0;16012.0
138;Estimativas;202503;25;9999999;25;Milho (em grão);120966.0;1188.0;101865.0;101865.0
139;Estimativas;202503;25;9999999;25;Tomate;19814.0;29976.0;661.0;661.0
140;Estimativas;202503;25;9999999;25;Amendoim (em casca);885.0;1000.0;885.0;885.0
141;Estimativas;202503;25;9999999;25;Laranja;4665.0;6952.0;671.0;671.0
142;Estimativas;202503;25;9999999;25;Castanha de caju;555.0;256.0;2170.0;2170.0
143;Estimativas;202503;25;9999999;25;Uva;1415.0;19930.0;71.0;71.0
144;Estimativas;202503;26;9999999;26;Algodão herbáceo (em caroço);109.0;712.0;153.0;153.0
145;Estimativas;202503;26;9999999;26;Arroz (em casca);6.0;2000.0;3.0;3.0
146;Estimativas;202503;26;9999999;26;Banana (cacho);637896.0;13070.0;48806.0;49570.0
147;Estimativas;202503;26;9999999;26;Cana-de-açúcar;15987179.0;60258.0;265310.0;265337.0
148;Estimativas;202503;26;9999999;26;Feijão (em grão);34758.0;453.0;75877.5;86492.0
149;Estimativas;202503;26;9999999;26;Mandioca;670909.0;11940.0;56191.0;56733.0
150;Estimativas;202503;26;9999999;26;Milho (em grão);59803.0;805.5;73818.5;94227.0
151;Estimativas;202503;26;9999999;26;Tomate;130882.0;57379.0;2281.0;2427.0
152;Estimativas;202503;26;9999999;26;Amendoim (em casca);28.5;1977.5;14.5;14.5
153;Estimativas;202503;26;9999999;26;Laranja;7744.0;9341.0;829.0;844.0
154;Estimativas;202503;26;9999999;26;Castanha de caju;3055.0;1348.0;2266.0;2269.0
155;Estimativas;202503;26;9999999;26;Sorgo (em grão);3004.0;1000.0;3005.0;3005.0
156;Estimativas;202503;26;9999999;26;Uva;717371.0;50250.0;14276.0;14276.0
157;Estimativas;202503;26;9999999;26;Café (em grão) Arábica;444.0;452.0;982.0;992.0
158;Estimativas;202503;26;9999999;26;Mamona (baga);136.0;446.0;305.0;305.0
159;Estimativas;202503;27;9999999;27;Algodão herbáceo (em caroço);22.0;611.0;36.0;36.0
160;Estimativas;202503;27;9999999;27;Arroz (em casca);18843.0;6961.0;2707.0;2707.0
161;Estimativas;202503;27;9999999;27;Banana (cacho);120818.0;12135.0;9956.0;9956.0
162;Estimativas;202503;27;9999999;27;Cana-de-açúcar;18618338.0;62153.0;299555.0;299555.0
163;Estimativas;202503;27;9999999;27;Feijão (em grão);19421.0;694.0;27990.0;27990.0
164;Estimativas;202503;27;9999999;27;Mandioca;530578.0;14190.0;37391.0;37391.0
165;Estimativas;202503;27;9999999;27;Milho (em grão);136517.0;2299.0;59384.0;59384.0
166;Estimativas;202503;27;9999999;27;Soja (em grão);16407.0;3377.0;4858.0;4858.0
167;Estimativas;202503;27;9999999;27;Tomate;10758.0;54333.0;198.0;198.0
168;Estimativas;202503;27;9999999;27;Amendoim (em casca);2407.0;2423.5;1062.5;1062.5
169;Estimativas;202503;27;9999999;27;Laranja;73383.0;9850.0;7450.0;7450.0
170;Estimativas;202503;27;9999999;27;Castanha de caju;730.0;1193.0;612.0;612.0
171;Estimativas;202503;27;9999999;27;Sorgo (em grão);1021.0;2279.0;448.0;448.0
172;Estimativas;202503;28;9999999;31;Arroz (em casca);41153.0;7665.0;5369.0;5369.0
173;Estimativas;202503;28;9999999;31;Cana-de-açúcar;1863742.0;53089.0;35106.0;35106.0
174;Estimativas;202503;28;9999999;31;Feijão (em grão);1485.0;599.0;2479.0;2514.0
175;Estimativas;202503;28;9999999;31;Mandioca;150812.0;14349.0;10510.0;15950.0
176;Estimativas;202503;28;9999999;31;Milho (em grão);987543.0;5287.0;186787.0;186787.0
177;Estimativas;202503;28;9999999;31;Amendoim (em casca);1715.0;1429.0;1200.0;1200.0
178;Estimativas;202503;28;9999999;31;Laranja;378308.0;12221.0;30955.0;31834.0
179;Estimativas;202503;29;9999999;32;Algodão herbáceo (em caroço);1781700.0;4664.0;382000.0;382000.0
180;Estimativas;202503;29;9999999;32;Arroz (em casca);750.0;1667.0;450.0;450.0
181;Estimativas;202503;29;9999999;32;Banana (cacho);905728.0;14042.0;64500.0;69000.0
182;Estimativas;202503;29;9999999;32;Cacau (em amêndoa);119063.0;265.0;449100.0;449100.0
183;Estimativas;202503;29;9999999;32;Café (em grão) Canephora;155760.0;3115.0;50000.0;50000.0
184;Estimativas;202503;29;9999999;32;Cana-de-açúcar;5488275.0;69472.0;79000.0;79000.0
185;Estimativas;202503;29;9999999;32;Feijão (em grão);111400.0;574.0;192500.0;192500.0
186;Estimativas;202503;29;9999999;32;Mandioca;906648.0;8318.0;109000.0;123000.0
187;Estimativas;202503;29;9999999;32;Milho (em grão);1177800.0;3976.5;300000.0;300000.0
188;Estimativas;202503;29;9999999;32;Soja (em grão);8333190.0;3888.0;2143500.0;2143500.0
189;Estimativas;202503;29;9999999;32;Tomate;182699.0;43089.0;4240.0;4240.0
190;Estimativas;202503;29;9999999;32;Amendoim (em casca);1896.5;991.0;1925.5;1925.5
191;Estimativas;202503;29;9999999;32;Laranja;631821.0;12636.0;50000.0;57500.0
192;Estimativas;202503;29;9999999;32;Castanha de caju;2925.0;195.0;15000.0;16000.0
193;Estimativas;202503;29;9999999;32;Sorgo (em grão);142980.0;1503.0;95150.0;95150.0
194;Estimativas;202503;29;9999999;32;Uva;60843.0;32554.0;1869.0;2069.0
195;Estimativas;202503;29;9999999;32;Café (em grão) Arábica;110160.0;1327.0;83000.0;83000.0
196;Estimativas;202503;29;9999999;32;Mamona (baga);36270.0;725.0;50000.0;50000.0
197;Estimativas;202503;29;9999999;32;Batata-inglesa;113372.33333333333;42782.0;2650.0;2650.0
198;Estimativas;202503;29;9999999;32;Trigo (em grão);34644.0;5774.0;6000.0;6000.0
199;Estimativas;202503;31;9999999;33;Algodão herbáceo (em caroço);184902.0;4275.0;43248.0;43248.0
200;Estimativas;202503;31;9999999;33;Arroz (em casca);143513.0;5980.0;23997.0;23997.0
201;Estimativas;202503;31;9999999;33;Banana (cacho);846537.0;16971.0;49882.0;49982.0
202;Estimativas;202503;31;9999999;33;Café (em grão) Canephora;23596.0;2434.0;9694.0;9694.0
203;Estimativas;202503;31;9999999;33;Cana-de-açúcar;84995701.0;75891.0;1119965.0;1119965.0
204;Estimativas;202503;31;9999999;33;Feijão (em grão);176491.0;1896.0;99618.33333333333;99618.33333333333
